<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	100000.00	100033.87	99752.19	99975.89	511487	0	0
2024.01.02	99975.92	100051.61	99636.33	99663.56	539143	0	0
2024.01.03	99663.59	99736.82	99449.90	99611.13	519797	0	0
2024.01.04	99611.16	99896.02	99216.88	99264.35	541870	0	0
2024.01.05	99264.38	99683.29	99236.63	99683.29	469715	0	0
2024.01.06	99683.32	99971.35	99586.33	99899.12	485178	0	0
2024.01.07	99899.15	99912.50	99589.74	99640.86	539900	0	0
2024.01.08	99640.89	99737.85	99358.57	99388.67	539647	0	0
2024.01.09	99388.70	99787.68	99388.70	99560.26	494832	0	0
2024.01.10	99560.29	99856.03	99437.33	99836.06	482277	0	0
2024.01.11	99836.09	99921.44	99374.32	99463.51	548162	0	0
2024.01.12	99463.54	99713.98	99376.60	99602.43	494457	0	0
2024.01.13	99602.46	99645.30	99250.72	99341.85	534697	0	0
2024.01.14	99341.88	99542.47	99182.01	99228.36	525885	0	0
2024.01.15	99228.39	99464.86	99035.12	99464.86	484556	0	0
2024.01.16	99464.89	99543.88	99246.64	99503.64	504351	0	0
2024.01.17	99503.67	99773.03	99474.72	99680.68	485004	0	0
2024.01.18	99680.71	100197.44	99611.45	99636.14	507529	0	0
2024.01.19	99636.17	99943.15	99621.34	99876.29	490887	0	0
2024.01.20	99876.32	100021.78	99648.44	99868.30	511492	0	0
2024.01.21	99868.33	100416.14	99863.21	100410.99	452678	0	0
2024.01.22	100411.02	100631.13	100255.73	100422.34	509820	0	0
2024.01.23	100422.37	100460.66	100164.28	100239.20	526112	0	0
2024.01.24	100239.23	100778.91	100201.50	100775.58	460982	0	0
2024.01.25	100775.61	101092.30	100663.26	100934.72	496767	0	0
2024.01.26	100934.75	101260.36	100907.71	101062.89	500003	0	0
2024.01.27	101062.92	101268.67	100957.96	101203.16	497862	0	0
2024.01.28	101203.19	101463.47	101072.26	101454.24	489416	0	0
2024.01.29	101454.27	101811.82	101411.25	101758.01	480555	0	0
2024.01.30	101758.04	101809.63	101467.07	101593.87	530878	0	0
2024.01.31	101593.90	101914.54	101509.84	101914.54	478140	0	0
2024.02.01	101914.57	102069.55	101677.98	101686.09	533447	0	0
2024.02.02	101686.12	101829.06	101552.42	101709.85	509591	0	0
2024.02.03	101709.88	102011.08	101702.92	101849.46	488766	0	0
2024.02.04	101849.49	101888.30	101607.42	101806.08	517191	0	0
2024.02.05	101806.11	102120.61	101792.39	101951.97	494534	0	0
2024.02.06	101952.00	102016.57	101733.35	101792.61	522712	0	0
2024.02.07	101792.64	102101.00	101792.64	101951.63	496543	0	0
2024.02.08	101951.66	102243.95	101855.09	102243.95	483390	0	0
2024.02.09	102243.98	102353.79	102006.12	102065.11	532342	0	0
2024.02.10	102065.14	102314.92	102020.96	102252.42	490884	0	0
